"","Damage","Year","Month","Targetspp","POINT_X","POINT_Y","PTX","PTY","Bear_abund","Landcover_code","Altitude","Human_population","Dist_to_forest","Dist_to_town","Livestock_killed","Numberdamageperplot","ShannonDivIndex","prop_arable","prop_orchards","prop_pasture","prop_ag_mosaic","prop_seminatural","prop_deciduous","prop_coniferous","prop_mixedforest","prop_grassland","prop_for_regen","Landcover_2","Prop_natural","Prop_ag","Prop_gras","Hunting","Prop_open","Prop_forest"
"407",1,"2010","4","bovine",640096,470790,640112,470885,26,"311",574,20,0,0,5,5,1.107544,0,0,5.659,0,27.05,54.671,0,12.62,0,0,"310",27.05,0,5.659,1,5.659,67.291
"408",1,"2010","4","bovine",640435,469505,640445,469596,26,"231",548,33,4.135214,394.447848,1,1,0.894517,0,0,8.934,0,0,58.546,0,32.521,0,0,"231",0,0,8.934,1,8.934,91.067
"409",1,"2010","4","bovine",640440,470159,640466,470181,26,"311",644,33,0,565.852357,5,5,1.107544,0,0,5.659,0,27.05,54.671,0,12.62,0,0,"310",27.05,0,5.659,1,5.659,67.291
"410",1,"2010","4","bovine",640603,469898,640670,469952,26,"311",634,33,0,469.172295,5,5,1.107544,0,0,5.659,0,27.05,54.671,0,12.62,0,0,"310",27.05,0,5.659,1,5.659,67.291
"411",0,"2014","0","",552921.0979,538861.1098,NA,NA,30,"313",1069,0,0,4761.991411,0,0,1.024361,0,0,0,0,0,0,24.032,57.918,16.348,1.702,"310",1.702,0,16.348,1,16.348,81.95
"412",0,"2013","0","",650388.2278,464228.9744,NA,NA,12,"311",390,0,0,1712.495712,0,0,0.563983,0,0,4.877,0,0,82.675,0,0,12.448,0,"310",0,0,17.325,1,17.325,82.675
"413",0,"2014","0","",525074.3251,521569.0797,NA,NA,27,"211",509,14,1280.490823,451.823857,0,0,1.070204,59.582,0,23.151,0,8.734,8.533,0,0,0,0,"210",8.734,59.582,23.151,1,23.151,8.533
"414",0,"2013","0","",602795.37,478544.4101,NA,NA,45,"312",1380,0,0,4977.099786,0,0,0.532043,0,0,0,0,0,0,77.59,22.41,0,0,"310",0,0,0,1,0,100
"415",0,"2014","0","",504493.6465,527721.0132,NA,NA,30,"311",676,0,0,2860.466072,0,0,0.982973,4.109,0,11.078,0,0,71.176,0,0,7.141,6.495,"310",6.495,4.109,18.219,1,18.219,71.176
"416",0,"2009","0","",593863.0995,516072.4316,NA,NA,77,"313",862,0,0,1886.630066,0,0,1.068522,0,0,0,0,0,39.726,4.126,47.205,8.943,0,"310",0,0,8.943,1,8.943,91.057
"417",0,"2012","0","",548478.1796,525623.6436,NA,NA,56,"311",671,0,0,8220.928931,0,0,0.430873,0,0,0,0,0,84.524,0,0,15.476,0,"310",0,0,15.476,1,15.476,84.524
"418",0,"2016","0","",631969.9112,500780.3001,NA,NA,32,"231",742,0,66.256926,1717.945152,0,0,1.084178,0,0,40.144,0,0,33.513,0,26.343,0,0,"231",0,0,40.144,0,40.144,59.856
